file_name,category,usage,width_px,height_px,format
mascot_dongdong_header.png,Mascot,"Primary Dongdong mascot from the top header, suitable for brand header / splash / onboarding accent.",69,68,PNG (transparent background)
mascot_dongdong_footer.png,Mascot,"Secondary Dongdong mascot from the footer, suitable for page footer or empty-state decoration.",58,65,PNG (transparent background)
mascot_dongdong_smile.png,Mascot,"Large smiling Dongdong mascot, suitable for encouragement, success, and celebration states.",88,73,PNG (transparent background)
mascot_dongdong_peek.png,Mascot,"Peeking Dongdong mascot, suitable for progress cards or level widgets.",55,54,PNG (transparent background)
mascot_dongdong_wave.png,Mascot,"Small waving Dongdong mascot, suitable for helper tips, nudges, and compact status cards.",42,40,PNG (transparent background)
mascot_dongdong_streak.png,Mascot,"Mini Dongdong streak mascot with confetti accent, suitable for streak / reward surfaces.",48,49,PNG (transparent background)
illustration_evening_recipe_scene.png,Illustration,"Illustrated evening recipe scene, suitable for smart recipe modules and care-plan cards.",146,79,PNG (transparent background)
illustration_running_plan_scene.png,Illustration,"Running plan illustration, suitable for exercise-plan modules and campaign banners.",141,136,PNG (transparent background)
illustration_hydration_glass.png,Illustration,"Hydration glass illustration, suitable for water reminder / water intake cards.",66,96,PNG (transparent background)
illustration_breathing_ring.png,Illustration,"Breathing training ring illustration, suitable for breathwork / meditation modules.",103,78,PNG (transparent background)
illustration_city_walk_map.png,Illustration,"City walk map illustration, suitable for step challenge / walking challenge cards.",142,91,PNG (transparent background)
component_health_book_cover_card.png,Component,"Health Book cover-style card component, suitable for article preview or content entry card.",124,88,PNG (transparent background)
badge_early_riser.png,Badge,Achievement badge for early-riser type rewards.,42,40,PNG (transparent background)
badge_sleep_expert.png,Badge,Achievement badge for sleep-expert type rewards.,40,40,PNG (transparent background)
badge_steps_champion.png,Badge,Achievement badge for steps-champion type rewards.,40,40,PNG (transparent background)
emotion_face_happy.png,Status,"Happy emotion face icon, suitable for mood logging.",31,41,PNG (transparent background)
emotion_face_calm.png,Status,"Calm emotion face icon, suitable for mood logging.",35,38,PNG (transparent background)
emotion_face_tired.png,Status,"Tired emotion face icon, suitable for mood logging.",33,36,PNG (transparent background)
emotion_face_anxious.png,Status,"Anxious emotion face icon, suitable for mood logging.",33,35,PNG (transparent background)
