word,phonetic,meaning,example
textbook,/ˈtekstbʊk/,教科书；课本,We use this textbook in class.
conversation,/ˌkɒnvəˈseɪʃn/,交谈；谈话,She had a long conversation with her teacher.
aloud,/əˈlaʊd/,大声地；出声地,Please read the passage aloud.
pronunciation,/prəˌnʌnsiˈeɪʃn/,发音；读音,His English pronunciation is perfect.
sentence,/ˈsentəns/,句子,Can you make a sentence with this word?
patient,/ˈpeɪʃnt/,有耐心的；病人,Our teacher is very patient with us.
expression,/ɪkˈspreʃn/,表达（方式）；表示,He wrote a poem to show his love expression.
discover,/dɪˈskʌvə(r)/,发现；发觉,Columbus discovered America in 1492.
secret,/ˈsiːkrət/,秘密；秘密的,I have a secret to tell you.
grammar,/ˈɡræmə(r)/,语法,We need to master basic English grammar.
repeat,/rɪˈpiːt/,重复；重做,Please repeat the sentence slowly.
note,/nəʊt/,笔记；记录；注意,You should take notes in class.
pal,/pæl/,朋友；伙伴,He is my best pal.
physics,/ˈfɪzɪks/,物理；物理学,I like physics very much.
chemistry,/ˈkemɪstri/,化学,Chemistry is a difficult subject for me.
memorize,/ˈmeməraɪz/,记忆；记住,I need to memorize these new words.
pattern,/ˈpætn/,模式；方式,I have a regular sleeping pattern.
pronounce,/prəˈnaʊns/,发音,Can you pronounce this word correctly?
increase,/ɪnˈkriːs/,增加；增长,They've increased the price by 50%.
speed,/spiːd/,速度；加速,The train travels at a speed of 80 km/h.
partner,/ˈpɑːtnə(r)/,搭档；同伴,I have a wonderful partner.
born,/bɔːn/,天生的,He was born with a silver spoon in his mouth.
ability,/əˈbɪləti/,能力；才能,She has many different abilities.
create,/kriˈeɪt/,创造；创建,Try this new dish created by our head chef.
brain,/breɪn/,大脑,Milk is good for your brain.
active,/ˈæktɪv/,活跃的；积极的,He took an active part in all kinds of sports.
attention,/əˈtenʃn/,注意；关注,Can I have your attention please?
connect,/kəˈnekt/,（使）连接；与……有联系,You should connect the computer with the printer.
overnight,/ˌəʊvəˈnaɪt/,一夜之间；在夜间,His hair turned grey overnight.
review,/rɪˈvjuː/,回顾；复习,To review your failures is important.
knowledge,/ˈnɒlɪdʒ/,知识；学问,Knowledge is power.
lifelong,/ˈlaɪflɒŋ/,终身的；毕生的,Learning is a lifelong journey.
